changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,changepoint_range,seasonality_mode,yearly_seasonality,rmse,mape,mae,num_cutoffs
0.001,1.0,1.0,0.85,additive,True,228.7293814596217,0.08837022968659802,195.117846801404,14
0.001,1.0,0.01,0.85,additive,True,228.7293814596217,0.08837022968659802,195.117846801404,14
0.001,1.0,5.0,0.85,additive,True,228.7293814596217,0.08837022968659802,195.117846801404,14
0.001,1.0,1.0,0.8,additive,True,228.9946988064545,0.08846361125491746,195.33988512387407,14
0.001,1.0,0.1,0.8,additive,True,228.9946988064545,0.08846361125491746,195.33988512387407,14
0.001,1.0,0.01,0.8,additive,True,228.9946988064545,0.08846361125491746,195.33988512387407,14
0.001,1.0,10.0,0.8,additive,True,228.9946988064545,0.08846361125491746,195.33988512387407,14
0.001,1.0,5.0,0.8,additive,True,228.9946988064545,0.08846361125491746,195.33988512387407,14
0.001,10.0,5.0,0.95,additive,True,229.8252364805258,0.08856929265141067,195.7621620649421,14
0.001,10.0,1.0,0.95,additive,True,229.8252364805258,0.08856929265141067,195.7621620649421,14
0.001,10.0,0.01,0.95,additive,True,229.8252364805258,0.08856929265141067,195.7621620649421,14
0.001,10.0,0.1,0.95,additive,True,229.8252364805258,0.08856929265141067,195.7621620649421,14
0.001,10.0,10.0,0.95,additive,True,229.8252364805258,0.08856929265141067,195.7621620649421,14
0.001,10.0,0.1,0.9,additive,True,229.67599031753406,0.0886204928430573,195.90577035122092,14
0.001,10.0,1.0,0.9,additive,True,229.67599031753406,0.0886204928430573,195.90577035122092,14
0.001,10.0,0.01,0.9,additive,True,229.67599031753406,0.0886204928430573,195.90577035122092,14
0.001,10.0,10.0,0.9,additive,True,229.67599031753406,0.0886204928430573,195.90577035122092,14
0.001,10.0,5.0,0.9,additive,True,229.67599031753406,0.0886204928430573,195.90577035122092,14
0.001,10.0,5.0,0.85,additive,True,229.82729953191804,0.08863444541762065,195.9372383899967,14
0.001,10.0,0.1,0.85,additive,True,229.82729953191804,0.08863444541762065,195.9372383899967,14
0.001,10.0,0.01,0.85,additive,True,229.82729953191804,0.08863444541762065,195.9372383899967,14
0.001,10.0,1.0,0.85,additive,True,229.82729953191804,0.08863444541762065,195.9372383899967,14
0.001,10.0,10.0,0.85,additive,True,229.82729953191804,0.08863444541762065,195.9372383899967,14
0.001,10.0,5.0,0.8,additive,True,229.76344441483062,0.08863462077971221,195.93318461238835,14
0.001,10.0,1.0,0.8,additive,True,229.76344441483062,0.08863462077971221,195.93318461238835,14
0.001,10.0,10.0,0.8,additive,True,229.76344441483062,0.08863462077971221,195.93318461238835,14
